NCT Number,Phases_NCT,PMID
NCT04263038,Phase 4,33444199
NCT03775746,Phase 4,31872349
NCT02387229,Phase 3,31376908
NCT02642419,Phase 4,31475793
NCT03273322,Phase 2|Phase 3,32674675
NCT01812200,Phase 4,25211369
NCT00403767,Phase 3,32323192
NCT00403767,Phase 3,31376090
NCT00403767,Phase 3,30219887
NCT00403767,Phase 3,28615214
NCT00403767,Phase 3,28433206
NCT00403767,Phase 3,27358435
NCT00403767,Phase 3,26955859
NCT00403767,Phase 3,26888572
NCT00403767,Phase 3,26673560
NCT00403767,Phase 3,25749644
NCT00403767,Phase 3,25736441
NCT00403767,Phase 3,24552831
NCT00403767,Phase 3,24315894
NCT00403767,Phase 3,23778903
NCT00403767,Phase 3,23723250
NCT00403767,Phase 3,23525418
NCT00403767,Phase 3,23500298
NCT00403767,Phase 3,23212720
NCT00403767,Phase 3,22402056
NCT00403767,Phase 3,21830957
NCT00403767,Phase 3,30371223
NCT00403767,Phase 3,29898836
NCT00403767,Phase 3,28477860
NCT00403767,Phase 3,28264892
NCT00403767,Phase 3,26386791
NCT00403767,Phase 3,24668660
NCT00403767,Phase 3,20211293
NCT00809965,Phase 3,29976285
NCT00809965,Phase 3,23602776
NCT00809965,Phase 3,23500262
NCT00809965,Phase 3,22077192
NCT00809965,Phase 3,25318481
NCT00809965,Phase 3,21570509
NCT01400646,Phase 1,25475601
NCT02555878,Phase 3,32663379
NCT02555878,Phase 3,30786186
NCT02555878,Phase 3,28933799
NCT02555878,Phase 3,33337539
NCT02293395,Phase 2,31141104
NCT02293395,Phase 2,28325638
NCT02293395,Phase 2,26995378
NCT01877915,Phase 3,32171760
NCT01877915,Phase 3,31461239
NCT01877915,Phase 3,31017637
NCT01877915,Phase 3,30146935
NCT02111564,Phase 3,32586587
NCT02111564,Phase 3,30145946
NCT02111564,Phase 3,31975354
NCT02220725,Phase 3,26559317
NCT01729871,Phase 3,25975659
NCT01830543,Phase 3,31707805
NCT01830543,Phase 3,30704287
NCT01830543,Phase 3,29943350
NCT01830543,Phase 3,29550085
NCT01830543,Phase 3,27959713
NCT01830543,Phase 3,27881555
NCT01830543,Phase 3,25819853
NCT01830543,Phase 3,30015064
NCT02716038,Phase 2,33209626
NCT02921269,Phase 2,33004542
NCT01035255,Phase 3,32021227
NCT01035255,Phase 3,29617523
NCT01035255,Phase 3,28784687
NCT01035255,Phase 3,27908347
NCT01035255,Phase 3,27842179
NCT01035255,Phase 3,27143684
NCT01035255,Phase 3,26915374
NCT01035255,Phase 3,26022006
NCT01035255,Phase 3,25176015
NCT01035255,Phase 3,23563576
NCT01035255,Phase 3,27895026
NCT01035255,Phase 3,26231885
NCT01035255,Phase 3,25416329
NCT01692301,Phase 2,24496699
NCT03832660,Phase 2,32125709
NCT00729664,Phase 1,22658128
NCT00887588,Phase 2,26754625
NCT00887588,Phase 2,25277997
NCT00887588,Phase 2,24184245
NCT00887588,Phase 2,22932717
NCT00549770,Phase 2,20236700
NCT01920711,Phase 3,33727901
NCT01920711,Phase 3,31726194
NCT01920711,Phase 3,31475794
